DEP,ARR,Dep Date,Best time before departure
AMS,LGW,2018-03-28 10:55:00,British Airways,"71 days, 17:17:19"
AMS,LGW,2018-03-28 13:50:00,British Airways,"71 days, 20:12:19"
AMS,LGW,2018-03-28 19:05:00,British Airways,"72 days, 1:27:19"
AMS,LGW,2018-03-29 10:55:00,British Airways,"73 days, 1:50:43"
AMS,LGW,2018-03-29 13:50:00,British Airways,"73 days, 4:45:43"
AMS,LGW,2018-03-29 19:20:00,British Airways,"73 days, 10:15:43"
AMS,LGW,2018-03-30 10:55:00,British Airways,"74 days, 10:48:07"
AMS,LGW,2018-03-30 13:55:00,British Airways,"74 days, 13:48:07"
AMS,LGW,2018-03-30 19:15:00,British Airways,"74 days, 19:08:07"
AMS,LGW,2018-03-30 21:15:00,British Airways,"74 days, 21:08:07"
AMS,LGW,2018-03-31 10:30:00,British Airways,"75 days, 0:38:55"
AMS,LGW,2018-03-31 14:15:00,British Airways,"75 days, 4:23:55"
AMS,LGW,2018-03-31 22:15:00,British Airways,"75 days, 12:23:55"
AMS,LGW,2018-04-01 10:30:00,British Airways,"75 days, 17:55:01"
AMS,LGW,2018-04-01 21:20:00,British Airways,"76 days, 4:45:01"
AMS,LGW,2018-04-02 10:55:00,British Airways,"76 days, 15:09:30"
AMS,LGW,2018-04-02 14:35:00,British Airways,"76 days, 18:49:30"
AMS,LGW,2018-04-02 19:30:00,British Airways,"76 days, 23:44:30"
AMS,LGW,2018-04-03 10:55:00,British Airways,"77 days, 20:53:33"
AMS,LGW,2018-04-03 13:55:00,British Airways,"77 days, 23:53:33"
AMS,LGW,2018-04-03 19:15:00,British Airways,"78 days, 5:13:33"
AMS,LGW,2018-04-04 10:55:00,British Airways,"78 days, 16:58:59"
AMS,LGW,2018-04-04 13:50:00,British Airways,"78 days, 19:53:59"
AMS,LGW,2018-04-04 19:05:00,British Airways,"79 days, 1:08:59"
AMS,LGW,2018-04-05 10:55:00,British Airways,"79 days, 15:42:03"
AMS,LGW,2018-04-05 13:50:00,British Airways,"79 days, 18:37:03"
AMS,LGW,2018-04-05 19:20:00,British Airways,"80 days, 0:07:03"
AMS,LGW,2018-04-06 10:55:00,British Airways,"81 days, 11:08:08"
AMS,LGW,2018-04-06 13:55:00,British Airways,"81 days, 14:08:08"
AMS,LGW,2018-04-06 19:15:00,British Airways,"81 days, 19:28:08"
AMS,LGW,2018-04-06 21:15:00,British Airways,"81 days, 21:28:08"
AMS,LGW,2018-04-07 10:30:00,British Airways,"81 days, 22:50:34"
AMS,LGW,2018-04-07 14:15:00,British Airways,"82 days, 2:35:34"
AMS,LGW,2018-04-07 22:15:00,British Airways,"82 days, 10:35:34"
AMS,LGW,2018-04-08 10:30:00,British Airways,"82 days, 18:35:59"
AMS,LGW,2018-04-08 21:20:00,British Airways,"83 days, 5:25:59"
AMS,LGW,2018-04-09 10:55:00,British Airways,"84 days, 0:02:40"
AMS,LGW,2018-04-09 14:35:00,British Airways,"84 days, 3:42:40"
AMS,LGW,2018-04-09 19:30:00,British Airways,"84 days, 8:37:40"
AMS,LGW,2018-04-10 10:55:00,British Airways,"84 days, 21:01:45"
AMS,LGW,2018-04-10 13:55:00,British Airways,"85 days, 0:01:45"
AMS,LGW,2018-04-10 19:15:00,British Airways,"85 days, 5:21:45"
AMS,LGW,2018-04-11 10:55:00,British Airways,"85 days, 19:46:31"
